id,slug,titolare,n_dataset,scoring,pct,findability,accessibility,interoperability,reusability,contextuality,n_nomi,in_ipa,ipa_nome,ipa_prov,ipa_reg
izs_loer,,"Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna ""Bruno Ubertini""",11,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna Bruno Ubertini,BS,Lombardia
ucve,,Unione dei Comuni valdostani Evancon,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Unione Dei Comuni Valdostani Evancon,AO,Valle d'Aosta/Vallée d'Aoste
c_a125,,Comune di Alba Adriatica,4,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Alba Adriatica,TE,Abruzzo
c_b791,,Comune di Carmagnola,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Carmagnola,TO,Piemonte
c_a388,,Comune di Arenzano,10,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Arenzano,GE,Liguria
c_f288,,Comune di Molinella,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Molinella,BO,Emilia-Romagna
c_l842,,Comune di Vico del Gargano,3,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Vico del Gargano,FG,Puglia
cciaa_me,,"Camera di Commercio, Industria, Artigianato e Agricoltura di Messina",1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,"Camera di Commercio, Industria, Artigianato e Agricoltura di Messina",ME,Sicilia
c_m262,,Comune di Cellole,1,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Cellole,CE,Campania
uni_por,,Università degli Studi del Piemonte Orientale,18,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Universita' degli Studi del Piemonte Orientale,VC,Piemonte
c_e882,,Comune di Manduria,5,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Comune di Manduria,TA,Puglia
p_al,,Provincia di Alessandria,44,385.0,95.06,100.0,100.0,90.0,75.0,20.0,1,1,Provincia di Alessandria,AL,Piemonte
