chiave,etichetta,slug,n_dataset,media,pct,mediana,min,max,rating,n_excellent,n_bad,n_publisher
6345e208-aeea-4ff9-86ae-bcc1c303f169,Comune di Lizzano,comune-di-lizzano,1,385.0,95.06,385,385,385,Excellent,1,0,1
6e44f061-4fdf-4ddb-9040-095629a08a9b,Comune di Capoterra,comune-di-capoterra,13,385.0,95.06,385,385,385,Excellent,13,0,1
7708bac3-06d7-48e1-98c2-788424425574,Comune di Molinella,comune-di-molinella,3,385.0,95.06,385,385,385,Excellent,3,0,1
2552ed41-d9a2-4a04-ba0a-dab5c123e03d,Comunita Montana Valtellina di Tirano,comunita-montana-valtellina-di-tirano,11,385.0,95.06,385,385,385,Excellent,11,0,1
2769d5a0-f4ab-4337-b577-a3426d4f0752,Brescia Mobilita Spa,brescia-mobilita-spa,3,385.0,95.06,385,385,385,Excellent,3,0,1
2e83f50b-b1a4-4668-a484-a8bfbdc936ed,Comune di Benevento,comune-di-benevento,11,385.0,95.06,385,385,385,Excellent,11,0,1
1377acf3-e741-43d1-a533-a695afadbcd3,Comune di Rapallo,comune-di-rapallo,8,385.0,95.06,385,385,385,Excellent,8,0,1
90fc5ad2-237d-49fc-9246-c29a9956df4c,Universita degli Studi del Piemonte Orientale,universita-degli-studi-del-piemonte-orientale,18,385.0,95.06,385,385,385,Excellent,18,0,1
577192d6-7dc6-4fb6-899d-e3f6485cce15,Comune di Sannazzaro De Burgondi,comune-di-sannazzaro-de-burgondi,4,385.0,95.06,385,385,385,Excellent,4,0,1
7e7b7ab2-54ec-4df4-8f4a-010b59a2f8d1,Consorzio Bim Vomano Tordino di Teramo,consorzio-bim-vomano-tordino-di-teramo,7,385.0,95.06,385,385,385,Excellent,7,0,1
bfe0080a-98b1-495f-a27c-a9ceffde3bf1,Ministero Universita e Ricerca,ministero-universita-e-ricerca,69,385.0,95.06,385,385,385,Excellent,69,0,4
4f584de2-6d2d-4662-a8db-68ee4d8b008e,Universita degli Studi dell'Aquila,universita-degli-studi-dell-aquila,16,385.0,95.06,385,385,385,Excellent,16,0,4
306186ca-caf4-4958-974e-0a99d2543465,ENEA Agenzia Nazionale per le Nuove Tecnologie l'Energia e lo Sviluppo Economico Sostenibile,enea-agenzia-nazionale-per-le-nuove-tecnologie-l-energia-e-lo-sviluppo-economico-sostenibile,18,385.0,95.06,385,385,385,Excellent,18,0,1
a0ca3322-6c33-4420-902a-5dc95ac88d6f,Asst Ovest Milanese,asst-ovest-milanese,22,385.0,95.06,385,385,385,Excellent,22,0,1
b153fe18-d340-4f24-b55b-fb0c140126f2,AGCM,agcm,55,385.0,95.06,385,385,385,Excellent,55,0,2
9d3cfaa3-7e89-45c4-81ed-8beff1781023,Comune di Finale Ligure,comune-di-finale-ligure,2,385.0,95.06,385,385,385,Excellent,2,0,1
a57f2cbd-a57e-4463-b1bd-c99271a3144b,Comune di Roseto degli Abruzzi,comune-di-roseto-degli-abruzzi,5,385.0,95.06,385,385,385,Excellent,5,0,1
26401515-e0df-4f22-bb55-1a8ba45029d8,Switch Catalog,switch-catalog,1,385.0,95.06,385,385,385,Excellent,1,0,1
d55cfad7-9b71-4233-9fe2-13b1a4610998,Universita degli Studi di Pavia,universita-degli-studi-di-pavia,2,385.0,95.06,385,385,385,Excellent,2,0,1
e2aa7491-54b3-44f1-a19e-190ce075479e,Comune di Corciano,comune-di-corciano,6,385.0,95.06,385,385,385,Excellent,6,0,1
6d38bd89-e867-40f2-be5e-4991acf327ca,Provincia di Verona,provincia-di-verona,3,385.0,95.06,385,385,385,Excellent,3,0,1
7845b4fc-6bf0-4adf-b3d4-0c2b399ffdca,Comune di Casavatore,comune-di-casavatore,1,385.0,95.06,385,385,385,Excellent,1,0,1
927b88eb-98e4-4fea-b1d3-a8f7695013c2,Comune di Vico del Gargano,comune-di-vico-del-gargano,3,385.0,95.06,385,385,385,Excellent,3,0,1
6e3d98f6-cd37-4413-9085-eb4526542764,Provincia di Isernia,provincia-di-isernia,5,385.0,95.06,385,385,385,Excellent,5,0,1
29a696fa-00d5-4be1-b3e9-879992b90f8d,Unione Pedemontana Parmense,unione-pedemontana-parmense,3,385.0,95.06,385,385,385,Excellent,3,0,1
735660ff-b04c-47e7-9caf-ca70007b059c,Comune di Messina,comune-di-messina,111,384.82,95.02,385,365,385,Excellent,111,0,6
f3449752-6111-485b-95b1-aeaeefcf2db5,Comune di Napoli,comune-di-napoli,36,384.44,94.92,385,365,385,Excellent,36,0,17
1419afad-d904-4313-957b-2c933ed3fd3b,Regione Campania,regione-campania,366,384.34,94.9,385,305,385,Excellent,364,0,11
14f898b0-1004-46af-9a27-e083197006ed,Azienda Consorziale Trasporti,azienda-consorziale-trasporti,4,382.5,94.44,385,375,385,Excellent,4,0,1
fa43b4d9-57a0-4c6a-aa5e-d0dda9a3d7eb,Comune di Mediglia,comune-di-mediglia,3,381.67,94.24,385,375,385,Excellent,3,0,1
8fbd5333-6025-4b03-af96-8ec71ae76acf,Comune di Porto Viro,comune-di-porto-viro,5,381.0,94.07,385,365,385,Excellent,5,0,1
0f70a991-1235-4c64-9079-5430f84d9087,Regione Siciliana,regione-siciliana,192,380.99,94.07,385,275,385,Excellent,184,0,47
730739fd-ae48-45db-8a2a-7002cca9bd2c,Agenzia per l'Italia Digitale,agenzia-per-l-italia-digitale,40,380.25,93.89,385,345,385,Excellent,39,0,5
